,A,B,K
0,0.9644615384615385,0.001,0.020566
1,0.9645384615384616,0.020923076923076923,0.020566
2,0.6846923076923077,0.023384615384615386,0.020566
3,0.6473846153846153,0.024692307692307694,0.020566
4,0.6156923076923076,0.026307692307692306,0.020566
5,0.6271538461538462,0.02746153846153846,0.020566
6,0.6216153846153846,0.02676923076923077,0.020566
7,0.6287692307692307,0.02823076923076923,0.020566
8,0.6250769230769231,0.027846153846153847,0.020566
9,0.6258461538461538,0.028153846153846154,0.020566
10,0.626,0.028538461538461537,0.020566
11,0.6301538461538462,0.02753846153846154,0.020566
12,0.6493846153846153,0.02776923076923077,0.020566
13,0.6573846153846153,0.02753846153846154,0.020566
14,0.6608461538461539,0.028076923076923076,0.020566
15,0.6696923076923077,0.029153846153846155,0.020566
16,0.6771538461538461,0.02846153846153846,0.020566
17,0.6747692307692308,0.028076923076923076,0.020566
18,0.6693076923076923,0.028384615384615383,0.020566
19,0.6765384615384615,0.028076923076923076,0.020566
20,0.6883846153846154,0.029461538461538463,0.020566
21,0.6741538461538461,0.02823076923076923,0.020566
22,0.6845384615384615,0.028153846153846154,0.020566
23,0.6823076923076923,0.02753846153846154,0.020566
24,0.683,0.029076923076923077,0.020566
25,0.6692307692307692,0.029,0.020566
