index,SEACell
cell_106997,SEACell-8
cell_113929,SEACell-9
cell_17885,SEACell-3
cell_58734,SEACell-11
cell_57629,SEACell-2
cell_96769,SEACell-0
cell_7807,SEACell-1
cell_73491,SEACell-6
cell_115275,SEACell-11
cell_73324,SEACell-6
cell_111641,SEACell-11
cell_101440,SEACell-0
cell_79177,SEACell-12
cell_42486,SEACell-9
cell_3243,SEACell-2
cell_14871,SEACell-11
cell_101692,SEACell-3
cell_27027,SEACell-4
cell_107513,SEACell-8
cell_128174,SEACell-0
cell_24262,SEACell-1
cell_95263,SEACell-1
cell_100208,SEACell-0
cell_81691,SEACell-2
cell_35147,SEACell-0
cell_106592,SEACell-5
cell_1745,SEACell-11
cell_105674,SEACell-8
cell_41476,SEACell-8
cell_120084,SEACell-3
cell_52485,SEACell-5
cell_89310,SEACell-12
cell_126545,SEACell-0
cell_98200,SEACell-3
cell_43045,SEACell-9
cell_44754,SEACell-5
cell_53311,SEACell-3
cell_98993,SEACell-3
cell_57867,SEACell-5
cell_112810,SEACell-8
cell_138687,SEACell-0
cell_23047,SEACell-11
cell_5295,SEACell-9
cell_114786,SEACell-3
cell_90383,SEACell-12
cell_95619,SEACell-10
cell_4710,SEACell-4
cell_41646,SEACell-2
cell_43808,SEACell-4
cell_119774,SEACell-1
cell_24568,SEACell-4
cell_92859,SEACell-1
cell_104175,SEACell-11
cell_109487,SEACell-8
cell_40535,SEACell-0
cell_130852,SEACell-6
cell_83402,SEACell-8
cell_115828,SEACell-0
cell_126120,SEACell-3
cell_118756,SEACell-3
cell_31698,SEACell-11
cell_120228,SEACell-0
cell_36714,SEACell-7
cell_29361,SEACell-8
cell_7912,SEACell-1
cell_125598,SEACell-1
cell_137378,SEACell-3
cell_52166,SEACell-5
cell_40600,SEACell-4
cell_81469,SEACell-11
cell_74788,SEACell-6
cell_70235,SEACell-10
cell_6726,SEACell-9
cell_40894,SEACell-5
cell_17208,SEACell-3
cell_115568,SEACell-0
cell_137203,SEACell-6
cell_64933,SEACell-10
cell_92592,SEACell-11
cell_15208,SEACell-8
cell_130513,SEACell-0
cell_65828,SEACell-5
cell_15383,SEACell-2
cell_28550,SEACell-2
cell_65693,SEACell-1
cell_55336,SEACell-12
cell_57374,SEACell-2
cell_51314,SEACell-1
cell_104545,SEACell-8
cell_72126,SEACell-0
cell_47791,SEACell-4
cell_66001,SEACell-0
cell_1668,SEACell-8
cell_127113,SEACell-1
cell_34296,SEACell-5
cell_42970,SEACell-8
cell_632,SEACell-12
cell_99678,SEACell-1
cell_68064,SEACell-3
cell_122552,SEACell-3
cell_82783,SEACell-12
cell_27318,SEACell-3
cell_6987,SEACell-8
cell_123757,SEACell-0
cell_15915,SEACell-9
cell_104209,SEACell-8
cell_5483,SEACell-8
cell_10699,SEACell-0
cell_116749,SEACell-1
cell_48481,SEACell-3
cell_89879,SEACell-9
cell_50653,SEACell-12
cell_117669,SEACell-1
cell_126137,SEACell-7
cell_123773,SEACell-3
cell_129464,SEACell-0
cell_9966,SEACell-9
cell_107290,SEACell-8
cell_73730,SEACell-3
cell_116952,SEACell-3
cell_85883,SEACell-8
cell_111025,SEACell-8
cell_5369,SEACell-2
cell_59051,SEACell-9
cell_134549,SEACell-3
cell_78307,SEACell-11
cell_108996,SEACell-12
cell_53113,SEACell-1
cell_125908,SEACell-3
cell_17423,SEACell-5
cell_25644,SEACell-6
cell_16582,SEACell-4
cell_37733,SEACell-3
cell_56054,SEACell-8
cell_77242,SEACell-2
cell_15798,SEACell-8
cell_97696,SEACell-4
cell_102383,SEACell-0
cell_99878,SEACell-6
cell_102088,SEACell-6
cell_80151,SEACell-9
cell_128583,SEACell-3
cell_7645,SEACell-7
cell_125640,SEACell-3
cell_117890,SEACell-3
cell_56240,SEACell-2
cell_89458,SEACell-2
cell_133866,SEACell-0
cell_134515,SEACell-3
cell_68079,SEACell-6
cell_45226,SEACell-8
cell_72876,SEACell-11
cell_23926,SEACell-0
cell_32403,SEACell-10
cell_100219,SEACell-3
cell_128381,SEACell-7
cell_35192,SEACell-3
cell_99023,SEACell-0
cell_103396,SEACell-2
cell_119716,SEACell-0
cell_85773,SEACell-0
cell_14378,SEACell-8
cell_107689,SEACell-8
cell_84537,SEACell-8
cell_97795,SEACell-6
cell_135962,SEACell-4
cell_112984,SEACell-9
cell_135452,SEACell-6
cell_92439,SEACell-1
cell_116350,SEACell-3
cell_2489,SEACell-8
cell_82898,SEACell-9
cell_113924,SEACell-2
cell_46683,SEACell-1
cell_58477,SEACell-9
cell_19873,SEACell-7
cell_115914,SEACell-10
cell_31899,SEACell-10
cell_57833,SEACell-2
cell_52686,SEACell-7
cell_754,SEACell-1
cell_66188,SEACell-6
cell_56571,SEACell-11
cell_58100,SEACell-2
cell_106166,SEACell-8
cell_6747,SEACell-8
cell_118663,SEACell-5
cell_9173,SEACell-1
cell_97580,SEACell-4
cell_36483,SEACell-10
cell_22927,SEACell-1
cell_67139,SEACell-3
cell_72888,SEACell-1
cell_95512,SEACell-6
cell_32664,SEACell-1
cell_37256,SEACell-3
cell_41503,SEACell-9
cell_14091,SEACell-9
cell_58696,SEACell-12
cell_94689,SEACell-4
cell_51657,SEACell-7
cell_3858,SEACell-8
cell_51257,SEACell-1
cell_30918,SEACell-6
cell_44100,SEACell-2
cell_22192,SEACell-4
cell_73188,SEACell-1
cell_59524,SEACell-9
cell_125009,SEACell-1
cell_101832,SEACell-0
cell_47309,SEACell-1
cell_137919,SEACell-3
cell_31857,SEACell-4
cell_78289,SEACell-11
cell_65876,SEACell-4
cell_38444,SEACell-0
cell_130138,SEACell-11
cell_35666,SEACell-10
cell_112364,SEACell-11
cell_81723,SEACell-8
cell_128368,SEACell-10
cell_2663,SEACell-1
cell_120915,SEACell-1
cell_123995,SEACell-4
cell_113605,SEACell-8
cell_126888,SEACell-4
cell_48222,SEACell-12
cell_61447,SEACell-9
cell_66669,SEACell-6
cell_51931,SEACell-0
cell_117382,SEACell-2
cell_102346,SEACell-1
cell_123013,SEACell-1
cell_137597,SEACell-6
cell_25347,SEACell-7
cell_50827,SEACell-3
cell_84166,SEACell-9
cell_44208,SEACell-8
cell_132315,SEACell-4
cell_54025,SEACell-9
cell_128928,SEACell-4
cell_42123,SEACell-8
cell_4208,SEACell-11
cell_76470,SEACell-0
cell_93563,SEACell-0
cell_23417,SEACell-6
cell_28151,SEACell-11
cell_56416,SEACell-5
cell_123919,SEACell-6
cell_68512,SEACell-10
cell_20460,SEACell-1
cell_105851,SEACell-8
cell_77768,SEACell-9
cell_71736,SEACell-3
cell_124567,SEACell-11
cell_25238,SEACell-1
cell_77722,SEACell-1
cell_100810,SEACell-0
cell_63654,SEACell-10
cell_26599,SEACell-11
cell_63356,SEACell-5
cell_102384,SEACell-6
cell_110104,SEACell-8
cell_13282,SEACell-5
cell_84803,SEACell-8
cell_9483,SEACell-4
cell_114331,SEACell-8
cell_59480,SEACell-7
cell_119088,SEACell-3
cell_11120,SEACell-11
cell_83840,SEACell-2
cell_76216,SEACell-6
cell_18950,SEACell-12
cell_39863,SEACell-5
cell_12926,SEACell-11
cell_57073,SEACell-5
cell_65223,SEACell-0
cell_127325,SEACell-0
cell_94567,SEACell-1
cell_31736,SEACell-10
cell_138904,SEACell-3
cell_128123,SEACell-5
cell_54566,SEACell-4
cell_113188,SEACell-7
cell_132168,SEACell-4
cell_69544,SEACell-6
cell_109997,SEACell-8
cell_27735,SEACell-8
cell_135404,SEACell-3
cell_114929,SEACell-10
cell_126544,SEACell-10
cell_57865,SEACell-2
