index,SEACell
cell_106997,SEACell-647
cell_113929,SEACell-517
cell_17885,SEACell-144
cell_58734,SEACell-161
cell_57629,SEACell-17
cell_96769,SEACell-78
cell_7807,SEACell-40
cell_73491,SEACell-77
cell_115275,SEACell-379
cell_73324,SEACell-110
cell_111641,SEACell-470
cell_101440,SEACell-228
cell_79177,SEACell-207
cell_42486,SEACell-154
cell_3243,SEACell-487
cell_14871,SEACell-426
cell_101692,SEACell-29
cell_27027,SEACell-71
cell_107513,SEACell-615
cell_128174,SEACell-325
cell_24262,SEACell-40
cell_95263,SEACell-633
cell_100208,SEACell-589
cell_81691,SEACell-249
cell_35147,SEACell-582
cell_106592,SEACell-295
cell_1745,SEACell-497
cell_105674,SEACell-647
cell_41476,SEACell-143
cell_120084,SEACell-1
cell_52485,SEACell-295
cell_89310,SEACell-491
cell_126545,SEACell-193
cell_98200,SEACell-149
cell_43045,SEACell-453
cell_44754,SEACell-269
cell_53311,SEACell-352
cell_98993,SEACell-28
cell_57867,SEACell-262
cell_112810,SEACell-612
cell_138687,SEACell-343
cell_23047,SEACell-58
cell_5295,SEACell-154
cell_114786,SEACell-429
cell_90383,SEACell-222
cell_95619,SEACell-218
cell_4710,SEACell-82
cell_41646,SEACell-216
cell_43808,SEACell-412
cell_119774,SEACell-179
cell_24568,SEACell-233
cell_92859,SEACell-633
cell_104175,SEACell-139
cell_109487,SEACell-239
cell_40535,SEACell-312
cell_130852,SEACell-24
cell_83402,SEACell-128
cell_115828,SEACell-193
cell_126120,SEACell-200
cell_118756,SEACell-215
cell_31698,SEACell-174
cell_120228,SEACell-193
cell_36714,SEACell-531
cell_29361,SEACell-322
cell_7912,SEACell-208
cell_125598,SEACell-205
cell_137378,SEACell-66
cell_52166,SEACell-571
cell_40600,SEACell-99
cell_81469,SEACell-455
cell_74788,SEACell-105
cell_70235,SEACell-422
cell_6726,SEACell-50
cell_40894,SEACell-157
cell_17208,SEACell-167
cell_115568,SEACell-473
cell_137203,SEACell-211
cell_64933,SEACell-434
cell_92592,SEACell-58
cell_15208,SEACell-625
cell_130513,SEACell-273
cell_65828,SEACell-253
cell_15383,SEACell-566
cell_28550,SEACell-216
cell_65693,SEACell-606
cell_55336,SEACell-76
cell_57374,SEACell-145
cell_51314,SEACell-240
cell_104545,SEACell-119
cell_72126,SEACell-20
