index,SEACell
cell_106997,SEACell-46
cell_113929,SEACell-6
cell_17885,SEACell-41
cell_58734,SEACell-25
cell_57629,SEACell-49
cell_96769,SEACell-52
cell_7807,SEACell-56
cell_73491,SEACell-40
cell_115275,SEACell-60
cell_73324,SEACell-40
cell_111641,SEACell-50
cell_101440,SEACell-52
cell_79177,SEACell-31
cell_42486,SEACell-59
cell_3243,SEACell-4
cell_14871,SEACell-50
cell_101692,SEACell-24
cell_27027,SEACell-21
cell_107513,SEACell-30
cell_128174,SEACell-34
cell_24262,SEACell-40
cell_95263,SEACell-40
cell_100208,SEACell-36
cell_81691,SEACell-4
cell_35147,SEACell-26
cell_106592,SEACell-42
cell_1745,SEACell-35
cell_105674,SEACell-46
cell_41476,SEACell-54
cell_120084,SEACell-53
cell_52485,SEACell-42
cell_89310,SEACell-15
cell_126545,SEACell-26
cell_98200,SEACell-22
cell_43045,SEACell-59
cell_44754,SEACell-7
cell_53311,SEACell-39
cell_98993,SEACell-22
cell_57867,SEACell-9
cell_112810,SEACell-46
cell_138687,SEACell-52
cell_23047,SEACell-60
cell_5295,SEACell-59
cell_114786,SEACell-44
cell_90383,SEACell-31
cell_95619,SEACell-5
cell_4710,SEACell-64
cell_41646,SEACell-54
cell_43808,SEACell-64
cell_119774,SEACell-11
cell_24568,SEACell-16
cell_92859,SEACell-40
cell_104175,SEACell-25
cell_109487,SEACell-46
cell_40535,SEACell-29
cell_130852,SEACell-24
cell_83402,SEACell-57
cell_115828,SEACell-26
cell_126120,SEACell-41
cell_118756,SEACell-39
cell_31698,SEACell-13
cell_120228,SEACell-26
cell_36714,SEACell-61
cell_29361,SEACell-46
cell_7912,SEACell-56
cell_125598,SEACell-56
cell_137378,SEACell-58
cell_52166,SEACell-8
cell_40600,SEACell-3
cell_81469,SEACell-50
cell_74788,SEACell-40
cell_70235,SEACell-10
cell_6726,SEACell-59
cell_40894,SEACell-48
cell_17208,SEACell-26
cell_115568,SEACell-26
cell_137203,SEACell-63
cell_64933,SEACell-5
cell_92592,SEACell-60
cell_15208,SEACell-46
cell_130513,SEACell-36
cell_65828,SEACell-23
cell_15383,SEACell-4
cell_28550,SEACell-49
cell_65693,SEACell-55
