,A,B,K
0,0.5899969696969697,0.0002,0.0043696
1,0.594339393939394,0.0025363636363636365,0.0043696
2,0.40252424242424245,0.0034666666666666665,0.0043696
3,0.32834242424242427,0.004057575757575757,0.0043696
4,0.29843030303030305,0.004303030303030303,0.0043696
5,0.2846757575757576,0.004566666666666667,0.0043696
6,0.27922424242424243,0.004657575757575758,0.0043696
7,0.2751969696969697,0.004842424242424243,0.0043696
8,0.2710181818181818,0.004881818181818182,0.0043696
9,0.27055151515151515,0.004887878787878788,0.0043696
10,0.2690666666666667,0.0049303030303030305,0.0043696
11,0.27091818181818184,0.004993939393939394,0.0043696
12,0.2703424242424242,0.004990909090909091,0.0043696
13,0.27164242424242424,0.004996969696969697,0.0043696
14,0.2715484848484849,0.004993939393939394,0.0043696
15,0.27324242424242423,0.005009090909090909,0.0043696
16,0.27113030303030305,0.004993939393939394,0.0043696
17,0.27296363636363635,0.005081818181818182,0.0043696
