,version,time (s),peak memory
0,"v2: no GPU, yes sparse",1605.6513876914978,1779453926
1,"v3: yes GPU, no sparse",1615.5479035377502,1779454518
2,"v4: yes GPU, yes sparse",316.14709758758545,2405300368
