,A,B,K
0,0.9686153846153847,0.001,0.020566
1,0.9685384615384616,0.019923076923076922,0.020566
2,0.7780769230769231,0.023615384615384614,0.020566
3,0.7222307692307692,0.02623076923076923,0.020566
4,0.697076923076923,0.027384615384615386,0.020566
5,0.6967692307692308,0.027615384615384615,0.020566
6,0.6963846153846154,0.02823076923076923,0.020566
7,0.6991538461538461,0.027615384615384615,0.020566
8,0.6896153846153846,0.028153846153846154,0.020566
9,0.6927692307692308,0.028538461538461537,0.020566
10,0.687,0.02823076923076923,0.020566
11,0.686076923076923,0.029076923076923077,0.020566
12,0.6898461538461539,0.028923076923076923,0.020566
13,0.7013846153846154,0.029,0.020566
14,0.6973076923076923,0.02846153846153846,0.020566
15,0.6983076923076923,0.029153846153846155,0.020566
16,0.6971538461538461,0.02876923076923077,0.020566
