,version,time (s),peak memory
0,"v2: no GPU, yes sparse",24.9537193775177,37639751
1,"v3: yes GPU, no sparse",2.7994258403778076,25844138
2,"v4: yes GPU, yes sparse",15.72465205192566,17121943
