,A,B,K
0,0.9698461538461538,0.001,0.020566
1,0.9701538461538461,0.019,0.020566
2,0.7669230769230769,0.023076923076923078,0.020566
3,0.705076923076923,0.024538461538461537,0.020566
4,0.6863846153846154,0.025384615384615384,0.020566
5,0.6786153846153846,0.026923076923076925,0.020566
6,0.6831538461538461,0.027923076923076922,0.020566
7,0.6752307692307692,0.02776923076923077,0.020566
8,0.6741538461538461,0.028153846153846154,0.020566
9,0.6742307692307692,0.027,0.020566
10,0.6765384615384615,0.027153846153846153,0.020566
11,0.6891538461538461,0.02746153846153846,0.020566
12,0.6908461538461539,0.027923076923076922,0.020566
13,0.6852307692307692,0.027923076923076922,0.020566
14,0.687076923076923,0.02746153846153846,0.020566
15,0.6897692307692308,0.028307692307692308,0.020566
16,0.6848461538461539,0.027230769230769232,0.020566
17,0.6851538461538461,0.028615384615384615,0.020566
18,0.6805384615384615,0.028384615384615383,0.020566
19,0.6972307692307692,0.02930769230769231,0.020566
20,0.6912307692307692,0.028307692307692308,0.020566
21,0.6963076923076923,0.02776923076923077,0.020566
22,0.696923076923077,0.028923076923076923,0.020566
23,0.6956923076923077,0.02876923076923077,0.020566
24,0.694,0.028,0.020566
25,0.692,0.027923076923076922,0.020566
26,0.6866153846153846,0.028384615384615383,0.020566
27,0.6881538461538461,0.028692307692307694,0.020566
28,0.689076923076923,0.02923076923076923,0.020566
29,0.6856153846153846,0.028307692307692308,0.020566
30,0.6848461538461539,0.02846153846153846,0.020566
31,0.6832307692307692,0.02823076923076923,0.020566
32,0.6817692307692308,0.029,0.020566
33,0.6877692307692308,0.02876923076923077,0.020566
34,0.687,0.029153846153846155,0.020566
35,0.6866923076923077,0.030153846153846153,0.020566
36,0.6893846153846154,0.028923076923076923,0.020566
37,0.6926923076923077,0.028615384615384615,0.020566
