,version,time (s),peak memory
0,"v2: no GPU, yes sparse",319.20417857170105,506894122
1,"v3: yes GPU, no sparse",298.52886271476746,506893183
2,"v4: yes GPU, yes sparse",84.81693291664124,601299350
